run,population,behaviour,code
1,Iat Forest,20,absent
1,Iat Forest,21,absent
1,Iat Forest,22,absent
1,Iat Forest,23,habitual
1,Iat Forest,24,present
1,Iat Forest,25,absent
1,Iat Forest,26,habitual
1,Iat Forest,27,habitual
1,Iat Forest,28,customary
1,Iat Forest,29,customary
1,Iat Forest,30,habitual
1,Iat Forest,31,customary
1,Iat Forest,32,customary
1,Iat Forest,33,ecological explanation
1,Iat Forest,34,absent
1,Iat Forest,35,absent
1,Iat Forest,36,customary
1,Iat Forest,37,customary
1,Iat Forest,38,customary
1,Iat Forest,39,customary
1,Iat Forest,40,customary
1,Iat Forest,41,absent
1,Iat Forest,42,habitual
1,Iat Forest,43,absent
1,Iat Forest,44,customary
1,Iat Forest,45,customary
1,Iat Forest,46,ecological explanation
1,Iat Forest,47,ecological explanation
1,Iat Forest,48,customary
1,Iat Forest,49,customary
1,Iat Forest,50,customary
1,Iat Forest,51,customary
1,Iat Forest,52,customary
1,Iat Forest,53,habitual
1,Iat Forest,54,customary
1,Iat Forest,55,present
1,Iat Forest,56,customary
1,Iat Forest,57,absent
1,Iat Forest,58,habitual
1,Iat Forest,59,customary
1,Iat Forest,60,absent
1,Iat Forest,61,absent
1,Iat Forest,62,absent
1,Iat Forest,63,customary
1,Iat Forest,64,customary
1,Ebmog,1,habitual
1,Ebmog,2,present
1,Ebmog,3,customary
1,Ebmog,4,absent
1,Ebmog,5,present
1,Ebmog,6,absent
1,Ebmog,7,customary
1,Ebmog,8,customary
1,Ebmog,9,absent
1,Ebmog,10,present
1,Ebmog,11,absent
1,Ebmog,12,customary
1,Ebmog,13,customary
1,Ebmog,14,absent
1,Ebmog,15,absent
1,Ebmog,16,absent
1,Ebmog,17,customary
1,Ebmog,18,absent
1,Ebmog,19,customary
1,Ebmog,20,absent
1,Ebmog,21,absent
1,Ebmog,22,absent
1,Ebmog,23,present
1,Ebmog,24,absent
1,Ebmog,25,absent
1,Ebmog,26,absent
1,Ebmog,27,absent
1,Ebmog,28,customary
1,Ebmog,29,customary
1,Ebmog,30,customary
1,Ebmog,31,habitual
1,Ebmog,32,absent
1,Ebmog,33,absent
1,Ebmog,34,absent
1,Ebmog,35,customary
1,Ebmog,36,absent
1,Ebmog,37,customary
1,Ebmog,38,absent
1,Ebmog,39,absent
1,Ebmog,40,absent
1,Ebmog,41,customary
1,Ebmog,42,absent
1,Ebmog,43,customary
1,Ebmog,44,customary
1,Ebmog,45,absent
1,Ebmog,46,customary
1,Ebmog,47,customary
1,Ebmog,48,present
1,Ebmog,49,customary
1,Ebmog,50,absent
1,Ebmog,51,customary
1,Ebmog,52,habitual
1,Ebmog,53,habitual
1,Ebmog,54,absent
1,Ebmog,55,absent
1,Ebmog,56,customary
1,Ebmog,57,customary
1,Ebmog,58,customary
1,Ebmog,59,customary
1,Ebmog,60,absent
1,Ebmog,61,absent
1,Ebmog,62,customary
1,Ebmog,63,absent
1,Ebmog,64,customary
1,Elaham,1,habitual
1,Elaham,2,habitual
1,Elaham,3,customary
1,Elaham,4,absent
1,Elaham,5,present
1,Elaham,6,present
1,Elaham,7,customary
1,Elaham,8,customary
1,Elaham,9,absent
1,Elaham,10,habitual
1,Elaham,11,habitual
1,Elaham,12,customary
1,Elaham,13,customary
1,Elaham,14,absent
1,Elaham,15,absent
1,Elaham,16,absent
1,Elaham,17,customary
1,Elaham,18,absent
1,Elaham,19,customary
1,Elaham,20,absent
1,Elaham,21,absent
1,Elaham,22,absent
1,Elaham,23,present
1,Elaham,24,habitual
1,Elaham,25,absent
1,Elaham,26,absent
1,Elaham,27,absent
1,Elaham,28,customary
1,Elaham,29,customary
1,Elaham,30,customary
1,Elaham,31,habitual
1,Elaham,32,absent
1,Elaham,33,absent
1,Elaham,34,absent
1,Elaham,35,customary
1,Elaham,36,ecological explanation
1,Elaham,37,customary
1,Elaham,38,ecological explanation
1,Elaham,39,ecological explanation
1,Elaham,40,absent
1,Elaham,41,customary
1,Elaham,42,absent
1,Elaham,43,customary
1,Elaham,44,customary
1,Elaham,45,ecological explanation
1,Elaham,46,customary
1,Elaham,47,customary
1,Elaham,48,absent
1,Elaham,49,customary
1,Elaham,50,ecological explanation
1,Elaham,51,customary
1,Elaham,52,absent
1,Elaham,53,habitual
1,Elaham,54,ecological explanation
1,Elaham,55,absent
1,Elaham,56,customary
1,Elaham,57,customary
1,Elaham,58,customary
1,Elaham,59,customary
1,Elaham,60,absent
1,Elaham,61,absent
1,Elaham,62,customary
1,Elaham,63,ecological explanation
1,Elaham,64,customary
1,Elabik,1,customary
1,Elabik,2,absent
1,Elabik,3,customary
1,Elabik,4,absent
1,Elabik,5,present
1,Elabik,6,present
1,Elabik,7,customary
1,Elabik,8,customary
1,Elabik,9,absent
1,Elabik,10,absent
1,Elabik,11,absent
1,Elabik,12,habitual
1,Elabik,13,customary
1,Elabik,14,absent
1,Elabik,15,absent
1,Elabik,16,absent
1,Elabik,17,customary
1,Elabik,18,absent
1,Elabik,19,habitual
1,Elabik,20,absent
1,Elabik,21,absent
1,Elabik,22,absent
1,Elabik,23,absent
1,Elabik,24,habitual
1,Elabik,25,absent
1,Elabik,26,habitual
1,Elabik,27,absent
1,Elabik,28,customary
1,Elabik,29,customary
1,Elabik,30,present
1,Elabik,31,habitual
1,Elabik,32,absent
1,Elabik,33,absent
1,Elabik,34,absent
1,Elabik,35,present
1,Elabik,36,absent
1,Elabik,37,customary
1,Elabik,38,absent
1,Elabik,39,customary
1,Elabik,40,present
1,Elabik,41,customary
1,Elabik,42,absent
1,Elabik,43,present
1,Elabik,44,absent
1,Elabik,45,absent
1,Elabik,46,customary
1,Elabik,47,customary
1,Elabik,48,habitual
1,Elabik,49,customary
1,Elabik,50,absent
1,Elabik,51,customary
1,Elabik,52,habitual
1,Elabik,53,customary
1,Elabik,54,customary
1,Elabik,55,habitual
1,Elabik,56,customary
1,Elabik,57,customary
1,Elabik,58,customary
1,Elabik,59,customary
1,Elabik,60,absent
1,Elabik,61,absent
1,Elabik,62,customary
1,Elabik,63,absent
1,Elabik,64,customary
1,Ognodub,1,customary
1,Ognodub,2,present
1,Ognodub,3,customary
1,Ognodub,4,absent
1,Ognodub,5,absent
1,Ognodub,6,present
1,Ognodub,7,customary
1,Ognodub,8,customary
1,Ognodub,9,absent
1,Ognodub,10,absent
1,Ognodub,11,absent
1,Ognodub,12,habitual
1,Ognodub,13,customary
1,Ognodub,14,absent
1,Ognodub,15,absent
1,Ognodub,16,absent
1,Ognodub,17,customary
1,Ognodub,18,absent
1,Ognodub,19,customary
1,Ognodub,20,absent
1,Ognodub,21,absent
1,Ognodub,22,absent
1,Ognodub,23,absent
1,Ognodub,24,absent
1,Ognodub,25,absent
1,Ognodub,26,habitual
1,Ognodub,27,absent
1,Ognodub,28,customary
1,Ognodub,29,customary
1,Ognodub,30,absent
1,Ognodub,31,absent
1,Ognodub,32,absent
1,Ognodub,33,absent
1,Ognodub,34,ecological explanation
1,Ognodub,35,ecological explanation
1,Ognodub,36,absent
1,Ognodub,37,ecological explanation
1,Ognodub,38,absent
1,Ognodub,39,customary
1,Ognodub,40,ecological explanation
1,Ognodub,41,customary
1,Ognodub,42,ecological explanation
1,Ognodub,43,ecological explanation
1,Ognodub,44,ecological explanation
1,Ognodub,45,absent
1,Ognodub,46,customary
1,Ognodub,47,customary
1,Ognodub,48,ecological explanation
1,Ognodub,49,customary
1,Ognodub,50,absent
1,Ognodub,51,habitual
1,Ognodub,52,ecological explanation
1,Ognodub,53,customary
1,Ognodub,54,customary
1,Ognodub,55,present
1,Ognodub,56,ecological explanation
1,Ognodub,57,customary
1,Ognodub,58,customary
1,Ognodub,59,customary
1,Ognodub,60,absent
1,Ognodub,61,absent
1,Ognodub,62,customary
1,Ognodub,63,absent
1,Ognodub,64,customary
2,Uossob,1,absent
2,Uossob,2,habitual
2,Uossob,3,habitual
2,Uossob,4,present
2,Uossob,5,customary
2,Uossob,6,absent
2,Uossob,7,absent
2,Uossob,8,customary
2,Uossob,9,absent
2,Uossob,10,customary
2,Uossob,11,customary
2,Uossob,12,habitual
2,Uossob,13,absent
2,Uossob,14,habitual
2,Uossob,15,customary
2,Uossob,16,customary
2,Uossob,17,habitual
2,Uossob,18,absent
2,Uossob,19,absent
2,Uossob,20,present
2,Uossob,21,absent
2,Uossob,22,absent
2,Uossob,23,customary
2,Uossob,24,customary
2,Uossob,25,absent
2,Uossob,26,absent
2,Uossob,27,absent
2,Uossob,28,absent
2,Uossob,29,customary
2,Uossob,30,absent
2,Uossob,31,absent
2,Uossob,32,customary
2,Uossob,33,customary
2,Uossob,34,ecological explanation
2,Uossob,35,absent
2,Uossob,36,ecological explanation
2,Uossob,37,customary
2,Uossob,38,customary
2,Uossob,39,absent
2,Uossob,40,customary
2,Uossob,41,absent
2,Uossob,42,present
2,Uossob,43,ecological explanation
2,Uossob,44,absent
2,Uossob,45,habitual
2,Uossob,46,absent
2,Uossob,47,ecological explanation
2,Uossob,48,customary
2,Uossob,49,customary
2,Uossob,50,ecological explanation
2,Uossob,51,absent
2,Uossob,52,habitual
2,Uossob,53,ecological explanation
2,Uossob,54,absent
2,Uossob,55,ecological explanation
2,Uossob,56,absent
2,Uossob,57,customary
2,Uossob,58,ecological explanation
2,Uossob,59,ecological explanation
2,Uossob,60,customary
2,Uossob,61,ecological explanation
2,Uossob,62,customary
2,Uossob,63,customary
2,Uossob,64,absent
2,Iat Forest,1,absent
2,Iat Forest,2,present
2,Iat Forest,3,customary
2,Iat Forest,4,absent
2,Iat Forest,5,customary
2,Iat Forest,6,absent
2,Iat Forest,7,present
2,Iat Forest,8,customary
2,Iat Forest,9,absent
2,Iat Forest,10,customary
2,Iat Forest,11,customary
2,Iat Forest,12,customary
2,Iat Forest,13,absent
2,Iat Forest,14,habitual
2,Iat Forest,15,habitual
2,Iat Forest,16,customary
2,Iat Forest,17,habitual
2,Iat Forest,18,absent
2,Iat Forest,19,absent
2,Iat Forest,20,habitual
2,Iat Forest,21,habitual
2,Iat Forest,22,absent
2,Iat Forest,23,customary
2,Iat Forest,24,customary
2,Iat Forest,25,customary
2,Iat Forest,26,absent
2,Iat Forest,27,absent
2,Iat Forest,28,absent
2,Iat Forest,29,habitual
2,Iat Forest,30,absent
2,Iat Forest,31,absent
2,Iat Forest,32,customary
2,Iat Forest,33,customary
2,Iat Forest,34,customary
2,Iat Forest,35,absent
2,Iat Forest,36,absent
2,Iat Forest,37,customary
2,Iat Forest,38,customary
2,Iat Forest,39,absent
2,Iat Forest,40,customary
2,Iat Forest,41,habitual
2,Iat Forest,42,absent
2,Iat Forest,43,absent
2,Iat Forest,44,ecological explanation
2,Iat Forest,45,absent
2,Iat Forest,46,absent
2,Iat Forest,47,customary
2,Iat Forest,48,customary
2,Iat Forest,49,customary
2,Iat Forest,50,absent
2,Iat Forest,51,ecological explanation
2,Iat Forest,52,customary
2,Iat Forest,53,absent
2,Iat Forest,54,absent
2,Iat Forest,55,absent
2,Iat Forest,56,absent
2,Iat Forest,57,customary
2,Iat Forest,58,absent
2,Iat Forest,59,absent
2,Iat Forest,60,customary
2,Iat Forest,61,absent
2,Iat Forest,62,customary
2,Iat Forest,63,customary
2,Iat Forest,64,habitual
2,Ebmog,1,customary
2,Ebmog,2,habitual
2,Ebmog,3,habitual
2,Ebmog,4,absent
2,Ebmog,5,customary
2,Ebmog,6,present
2,Ebmog,7,present
2,Ebmog,8,customary
2,Ebmog,9,absent
2,Ebmog,10,customary
2,Ebmog,11,present
2,Ebmog,12,habitual
2,Ebmog,13,absent
2,Ebmog,14,customary
2,Ebmog,15,habitual
2,Ebmog,16,habitual
2,Ebmog,17,habitual
2,Ebmog,18,customary
2,Ebmog,19,present
2,Ebmog,20,absent
2,Ebmog,21,habitual
2,Ebmog,22,absent
2,Ebmog,23,customary
2,Ebmog,24,customary
2,Ebmog,25,habitual
2,Ebmog,26,absent
2,Ebmog,27,present
2,Ebmog,28,absent
2,Ebmog,29,habitual
2,Ebmog,30,customary
2,Ebmog,31,absent
2,Ebmog,32,customary
2,Ebmog,33,absent
2,Ebmog,34,present
2,Ebmog,35,absent
2,Ebmog,36,customary
2,Ebmog,37,customary
2,Ebmog,38,customary
2,Ebmog,39,present
2,Ebmog,40,customary
2,Ebmog,41,absent
2,Ebmog,42,present
2,Ebmog,43,customary
2,Ebmog,44,absent
2,Ebmog,45,present
2,Ebmog,46,customary
2,Ebmog,47,customary
2,Ebmog,48,absent
2,Ebmog,49,present
2,Ebmog,50,customary
2,Ebmog,51,customary
2,Ebmog,52,absent
2,Ebmog,53,customary
2,Ebmog,54,absent
2,Ebmog,55,customary
2,Ebmog,56,absent
2,Ebmog,57,customary
2,Ebmog,58,customary
2,Ebmog,59,customary
2,Ebmog,60,customary
2,Ebmog,61,absent
2,Ebmog,62,absent
2,Ebmog,63,absent
2,Ebmog,64,absent
2,Elaham,1,habitual
2,Elaham,2,present
2,Elaham,3,customary
2,Elaham,4,absent
2,Elaham,5,habitual
2,Elaham,6,absent
2,Elaham,7,absent
2,Elaham,8,habitual
2,Elaham,9,present
2,Elaham,10,customary
2,Elaham,11,absent
2,Elaham,12,habitual
2,Elaham,13,present
2,Elaham,14,habitual
2,Elaham,15,customary
2,Elaham,16,habitual
2,Elaham,17,habitual
2,Elaham,18,customary
2,Elaham,19,absent
2,Elaham,20,absent
2,Elaham,21,habitual
2,Elaham,22,absent
2,Elaham,23,customary
2,Elaham,24,absent
2,Elaham,25,customary
2,Elaham,26,absent
2,Elaham,27,absent
2,Elaham,28,absent
2,Elaham,29,habitual
2,Elaham,30,customary
2,Elaham,31,present
2,Elaham,32,customary
2,Elaham,33,absent
2,Elaham,34,present
2,Elaham,35,absent
2,Elaham,36,customary
2,Elaham,37,customary
2,Elaham,38,customary
2,Elaham,39,present
2,Elaham,40,customary
2,Elaham,41,present
2,Elaham,42,present
2,Elaham,43,customary
2,Elaham,44,absent
2,Elaham,45,ecological explanation
2,Elaham,46,customary
2,Elaham,47,customary
2,Elaham,48,ecological explanation
2,Elaham,49,ecological explanation
2,Elaham,50,customary
2,Elaham,51,customary
2,Elaham,52,absent
2,Elaham,53,customary
2,Elaham,54,absent
2,Elaham,55,customary
2,Elaham,56,absent
2,Elaham,57,customary
2,Elaham,58,customary
2,Elaham,59,customary
2,Elaham,60,customary
2,Elaham,61,absent
2,Elaham,62,ecological explanation
2,Elaham,63,ecological explanation
2,Elaham,64,absent
2,Elabik,1,customary
2,Elabik,2,habitual
2,Elabik,3,habitual
2,Elabik,4,absent
2,Elabik,5,customary
2,Elabik,6,absent
2,Elabik,7,absent
2,Elabik,8,absent
2,Elabik,9,absent
2,Elabik,10,customary
2,Elabik,11,absent
2,Elabik,12,habitual
2,Elabik,13,absent
2,Elabik,14,habitual
2,Elabik,15,habitual
2,Elabik,16,customary
2,Elabik,17,customary
2,Elabik,18,customary
2,Elabik,19,absent
2,Elabik,20,habitual
2,Elabik,21,absent
2,Elabik,22,present
2,Elabik,23,customary
2,Elabik,24,customary
2,Elabik,25,habitual
2,Elabik,26,absent
2,Elabik,27,habitual
2,Elabik,28,absent
2,Elabik,29,habitual
2,Elabik,30,customary
2,Elabik,31,present
2,Elabik,32,customary
2,Elabik,33,habitual
2,Elabik,34,absent
2,Elabik,35,absent
2,Elabik,36,customary
2,Elabik,37,customary
2,Elabik,38,customary
2,Elabik,39,present
2,Elabik,40,habitual
2,Elabik,41,absent
2,Elabik,42,absent
2,Elabik,43,customary
2,Elabik,44,present
2,Elabik,45,customary
2,Elabik,46,customary
2,Elabik,47,customary
2,Elabik,48,absent
2,Elabik,49,habitual
2,Elabik,50,customary
2,Elabik,51,customary
2,Elabik,52,habitual
2,Elabik,53,customary
2,Elabik,54,absent
2,Elabik,55,customary
2,Elabik,56,habitual
2,Elabik,57,customary
2,Elabik,58,customary
2,Elabik,59,customary
2,Elabik,60,customary
2,Elabik,61,absent
2,Elabik,62,absent
2,Elabik,63,habitual
2,Elabik,64,absent
2,Ognodub,1,customary
2,Ognodub,2,absent
2,Ognodub,3,habitual
2,Ognodub,4,absent
2,Ognodub,5,habitual
2,Ognodub,6,absent
2,Ognodub,7,absent
2,Ognodub,8,customary
2,Ognodub,9,habitual
2,Ognodub,10,customary
2,Ognodub,11,absent
2,Ognodub,12,habitual
2,Ognodub,13,absent
2,Ognodub,14,habitual
2,Ognodub,15,absent
2,Ognodub,16,habitual
2,Ognodub,17,present
2,Ognodub,18,customary
2,Ognodub,19,absent
2,Ognodub,20,absent
2,Ognodub,21,habitual
2,Ognodub,22,present
2,Ognodub,23,customary
2,Ognodub,24,customary
2,Ognodub,25,customary
2,Ognodub,26,absent
2,Ognodub,27,customary
2,Ognodub,28,absent
2,Ognodub,29,habitual
2,Ognodub,30,habitual
2,Ognodub,31,absent
2,Ognodub,32,customary
2,Ognodub,33,ecological explanation
2,Ognodub,34,absent
2,Ognodub,35,absent
2,Ognodub,36,customary
2,Ognodub,37,customary
2,Ognodub,38,customary
2,Ognodub,39,absent
2,Ognodub,40,ecological explanation
2,Ognodub,41,ecological explanation
2,Ognodub,42,absent
2,Ognodub,43,customary
2,Ognodub,44,absent
2,Ognodub,45,customary
2,Ognodub,46,ecological explanation
2,Ognodub,47,customary
2,Ognodub,48,absent
2,Ognodub,49,absent
2,Ognodub,50,customary
2,Ognodub,51,customary
2,Ognodub,52,habitual
2,Ognodub,53,customary
2,Ognodub,54,absent
2,Ognodub,55,customary
2,Ognodub,56,absent
2,Ognodub,57,ecological explanation
2,Ognodub,58,customary
2,Ognodub,59,customary
2,Ognodub,60,customary
2,Ognodub,61,present
2,Ognodub,62,absent
2,Ognodub,63,present
2,Ognodub,64,absent
3,Uossob,1,absent
3,Uossob,2,customary
3,Uossob,3,customary
3,Uossob,4,present
3,Uossob,5,present
3,Uossob,6,absent
3,Uossob,7,absent
3,Uossob,8,customary
3,Uossob,9,customary
3,Uossob,10,absent
3,Uossob,11,absent
3,Uossob,12,customary
3,Uossob,13,absent
3,Uossob,14,absent
3,Uossob,15,absent
3,Uossob,16,customary
3,Uossob,17,absent
3,Uossob,18,customary
3,Uossob,19,absent
3,Uossob,20,absent
3,Uossob,21,absent
3,Uossob,22,absent
3,Uossob,23,customary
3,Uossob,24,absent
3,Uossob,25,customary
3,Uossob,26,customary
3,Uossob,27,habitual
3,Uossob,28,habitual
3,Uossob,29,customary
3,Uossob,30,absent
3,Uossob,31,present
3,Uossob,32,absent
3,Uossob,33,absent
3,Uossob,34,ecological explanation
3,Uossob,35,customary
3,Uossob,36,customary
3,Uossob,37,present
3,Uossob,38,ecological explanation
3,Uossob,39,habitual
3,Uossob,40,ecological explanation
3,Uossob,41,ecological explanation
3,Uossob,42,customary
3,Uossob,43,absent
3,Uossob,44,customary
3,Uossob,45,customary
3,Uossob,46,absent
3,Uossob,47,customary
3,Uossob,48,customary
3,Uossob,49,ecological explanation
3,Uossob,50,customary
3,Uossob,51,customary
3,Uossob,52,customary
3,Uossob,53,absent
3,Uossob,54,habitual
3,Uossob,55,ecological explanation
3,Uossob,56,ecological explanation
3,Uossob,57,customary
3,Uossob,58,ecological explanation
3,Uossob,59,customary
3,Uossob,60,absent
3,Uossob,61,ecological explanation
3,Uossob,62,present
3,Uossob,63,customary
3,Uossob,64,customary
3,Iat Forest,1,absent
3,Iat Forest,2,customary
3,Iat Forest,3,absent
3,Iat Forest,4,habitual
3,Iat Forest,5,habitual
3,Iat Forest,6,habitual
3,Iat Forest,7,absent
3,Iat Forest,8,customary
3,Iat Forest,9,customary
3,Iat Forest,10,absent
3,Iat Forest,11,absent
3,Iat Forest,12,customary
3,Iat Forest,13,present
3,Iat Forest,14,absent
3,Iat Forest,15,habitual
3,Iat Forest,16,customary
3,Iat Forest,17,absent
3,Iat Forest,18,habitual
3,Iat Forest,19,absent
3,Iat Forest,20,present
3,Iat Forest,21,habitual
3,Iat Forest,22,absent
3,Iat Forest,23,customary
3,Iat Forest,24,absent
3,Iat Forest,25,customary
3,Iat Forest,26,habitual
3,Iat Forest,27,customary
3,Iat Forest,28,absent
3,Iat Forest,29,customary
3,Iat Forest,30,absent
3,Iat Forest,31,present
3,Iat Forest,32,absent
3,Iat Forest,33,ecological explanation
3,Iat Forest,34,absent
3,Iat Forest,35,customary
3,Iat Forest,36,customary
3,Iat Forest,37,absent
3,Iat Forest,38,habitual
3,Iat Forest,39,customary
3,Iat Forest,40,absent
3,Iat Forest,41,absent
3,Iat Forest,42,customary
3,Iat Forest,43,absent
3,Iat Forest,44,customary
3,Iat Forest,45,customary
3,Iat Forest,46,absent
3,Iat Forest,47,customary
3,Iat Forest,48,customary
3,Iat Forest,49,absent
3,Iat Forest,50,customary
3,Iat Forest,51,customary
3,Iat Forest,52,customary
3,Iat Forest,53,absent
3,Iat Forest,54,habitual
3,Iat Forest,55,absent
3,Iat Forest,56,absent
3,Iat Forest,57,customary
3,Iat Forest,58,absent
3,Iat Forest,59,customary
3,Iat Forest,60,absent
3,Iat Forest,61,present
3,Iat Forest,62,habitual
3,Iat Forest,63,customary
3,Iat Forest,64,customary
3,Ebmog,1,habitual
3,Ebmog,2,customary
3,Ebmog,3,absent
3,Ebmog,4,habitual
3,Ebmog,5,habitual
3,Ebmog,6,absent
3,Ebmog,7,customary
3,Ebmog,8,habitual
3,Ebmog,9,customary
3,Ebmog,10,absent
3,Ebmog,11,absent
3,Ebmog,12,habitual
3,Ebmog,13,customary
3,Ebmog,14,absent
3,Ebmog,15,habitual
3,Ebmog,16,customary
3,Ebmog,17,absent
3,Ebmog,18,habitual
3,Ebmog,19,absent
3,Ebmog,20,absent
3,Ebmog,21,customary
3,Ebmog,22,absent
3,Ebmog,23,habitual
3,Ebmog,24,absent
3,Ebmog,25,absent
3,Ebmog,26,habitual
3,Ebmog,27,customary
3,Ebmog,28,present
3,Ebmog,29,customary
3,Ebmog,30,absent
3,Ebmog,31,present
3,Ebmog,32,customary
3,Ebmog,33,customary
3,Ebmog,34,habitual
3,Ebmog,35,absent
3,Ebmog,36,customary
3,Ebmog,37,customary
3,Ebmog,38,customary
3,Ebmog,39,customary
3,Ebmog,40,customary
3,Ebmog,41,customary
3,Ebmog,42,absent
3,Ebmog,43,present
3,Ebmog,44,absent
3,Ebmog,45,habitual
3,Ebmog,46,customary
3,Ebmog,47,customary
3,Ebmog,48,habitual
3,Ebmog,49,customary
3,Ebmog,50,absent
3,Ebmog,51,absent
3,Ebmog,52,customary
3,Ebmog,53,absent
3,Ebmog,54,absent
3,Ebmog,55,habitual
3,Ebmog,56,customary
3,Ebmog,57,present
3,Ebmog,58,customary
3,Ebmog,59,absent
3,Ebmog,60,absent
3,Ebmog,61,absent
3,Ebmog,62,absent
3,Ebmog,63,customary
3,Ebmog,64,absent
3,Elaham,1,absent
3,Elaham,2,customary
3,Elaham,3,habitual
3,Elaham,4,habitual
3,Elaham,5,present
3,Elaham,6,absent
3,Elaham,7,customary
3,Elaham,8,habitual
3,Elaham,9,customary
3,Elaham,10,habitual
3,Elaham,11,absent
3,Elaham,12,customary
3,Elaham,13,customary
3,Elaham,14,absent
3,Elaham,15,absent
3,Elaham,16,customary
3,Elaham,17,present
3,Elaham,18,absent
3,Elaham,19,absent
3,Elaham,20,absent
3,Elaham,21,customary
3,Elaham,22,absent
3,Elaham,23,customary
3,Elaham,24,absent
3,Elaham,25,absent
3,Elaham,26,customary
3,Elaham,27,customary
3,Elaham,28,absent
3,Elaham,29,customary
3,Elaham,30,absent
3,Elaham,31,absent
3,Elaham,32,customary
3,Elaham,33,customary
3,Elaham,34,habitual
3,Elaham,35,ecological explanation
3,Elaham,36,customary
3,Elaham,37,habitual
3,Elaham,38,customary
3,Elaham,39,customary
3,Elaham,40,customary
3,Elaham,41,customary
3,Elaham,42,absent
3,Elaham,43,absent
3,Elaham,44,absent
3,Elaham,45,absent
3,Elaham,46,customary
3,Elaham,47,customary
3,Elaham,48,habitual
3,Elaham,49,customary
3,Elaham,50,absent
3,Elaham,51,ecological explanation
3,Elaham,52,customary
3,Elaham,53,ecological explanation
3,Elaham,54,customary
3,Elaham,55,customary
3,Elaham,56,customary
3,Elaham,57,absent
3,Elaham,58,customary
3,Elaham,59,ecological explanation
3,Elaham,60,ecological explanation
3,Elaham,61,absent
3,Elaham,62,absent
3,Elaham,63,customary
3,Elaham,64,absent
3,Elabik,1,habitual
3,Elabik,2,customary
3,Elabik,3,present
3,Elabik,4,habitual
3,Elabik,5,absent
3,Elabik,6,absent
3,Elabik,7,customary
3,Elabik,8,customary
3,Elabik,9,customary
3,Elabik,10,present
3,Elabik,11,absent
3,Elabik,12,customary
3,Elabik,13,customary
3,Elabik,14,absent
3,Elabik,15,present
3,Elabik,16,customary
3,Elabik,17,absent
3,Elabik,18,habitual
3,Elabik,19,absent
3,Elabik,20,absent
3,Elabik,21,habitual
3,Elabik,22,absent
3,Elabik,23,customary
3,Elabik,24,habitual
3,Elabik,25,absent
3,Elabik,26,absent
3,Elabik,27,customary
3,Elabik,28,habitual
3,Elabik,29,customary
3,Elabik,30,absent
3,Elabik,31,habitual
3,Elabik,32,customary
3,Elabik,33,customary
3,Elabik,34,customary
3,Elabik,35,absent
3,Elabik,36,customary
3,Elabik,37,customary
3,Elabik,38,customary
3,Elabik,39,customary
3,Elabik,40,customary
3,Elabik,41,customary
3,Elabik,42,absent
3,Elabik,43,absent
3,Elabik,44,absent
3,Elabik,45,absent
3,Elabik,46,customary
3,Elabik,47,customary
3,Elabik,48,absent
3,Elabik,49,customary
3,Elabik,50,absent
3,Elabik,51,absent
3,Elabik,52,customary
3,Elabik,53,absent
3,Elabik,54,customary
3,Elabik,55,habitual
